Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
TBB4B_MOUSE	Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1	50 kDa	0.0075	Cytoskeleton		51.686	57.99	55.917	57.07	41.495	52.8316	90.421	57.99	55.917	82.953	71.8203	62.538	58.732	58.588	60	59.9645	31.782	32.744	49.041	37.8557	50 kDa	0.061		30.738	31.823	27.832	29.553	21.524	28.294	11.694	22.486	15.718	38.611	22.1273	37.21	28.983	39.203	42.217	36.9033	32.659	34.981	31.043	32.8943	P68372	Cytoskeleton, Huntington	Cytoskeleton				Cytoskeleton					Huntington						Tubb4b Tubb2c
TBB5_MOUSE	Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1	50 kDa	0.024	Cytoskeleton		53.6	57.99	55.917	59.399	42.616	53.9044	116.96	57.99	55.917	87.627	79.6235	62.538	53.139	53.537	52.653	55.4668	35.856	29.55	46.366	37.2573	50 kDa	0.56		34.251	30.963	27.832	22.986	20.448	27.296	10.525	24.984	14.509	48.539	24.6393	30.444	27.113	37.084	41.135	33.944	31.066	30.983	31.043	31.0307	P99024	Cytoskeleton, Huntington	Cytoskeleton				Cytoskeleton					Huntington						Tubb5
TBB6_MOUSE	Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1	50 kDa	0.034	Cytoskeleton		21.057	26.831	21.928	24.459	14.579	21.7708	49.142	26.831	21.928	32.714	32.6538	26.531	18.645	25.253	23.265	23.4235	13.854	15.174	16.941	15.323	50 kDa	0.0014		9.6607	10.321	5.3868	7.662	6.4573	7.8976	3.5082	6.246	6.0456	12.135	6.9837	16.913	12.154	15.893	17.32	15.57	11.152	11.994	10.705	11.2837	Q922F4	Cytoskeleton, Huntington	Cytoskeleton				Cytoskeleton					Huntington						Tubb6
TCPA_MOUSE	T-complex protein 1 subunit alpha OS=Mus musculus GN=Tcp1 PE=1 SV=3	60 kDa	0.54			1.9143	1.731	4.3856	4.6588	0	2.5379	0	1.731	4.3856	0	1.5292	0.9476	0.9323	3.0304	1.2245	1.5337	1.6298	0.7987	0	0.8095	60 kDa	0.43		0	0	0	0	0	0	0	1.2492	0	0	0.3123	0	0	0	0	0	0	0	0	0	P11983																	
TCPB_MOUSE	T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4	57 kDa	0.27			0.9571	5.1931	3.2892	2.3294	3.3644	3.0266	0.9828	5.1931	3.2892	2.3367	2.9505	5.6853	3.729	3.0304	2.449	3.7234	0.8149	1.5973	1.7833	1.3985	57 kDa	0.19		1.7565	0	0	0	0	0.3513	0	0	0	0	0	1.1276	0	1.0595	2.165	1.088	0	0.9995	0	0.3332	P80314																	
TCPE_MOUSE	T-complex protein 1 subunit epsilon OS=Mus musculus GN=Cct5 PE=1 SV=1	60 kDa	0.31			0	0	1.0964	1.1647	0	0.4522	0.9828	0	1.0964	2.3367	1.104	1.8951	0.9323	2.0203	0	1.2119	0.8149	0	0	0.2716	60 kDa	0.55		0	0.8601	0	0	0	0.172	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655	P80316																	
TCPG_MOUSE	T-complex protein 1 subunit gamma OS=Mus musculus GN=Cct3 PE=1 SV=1	61 kDa	0.25			0.9571	1.731	2.1928	2.3294	0	1.4421	0	1.731	2.1928	3.5051	1.8572	1.8951	2.7968	3.0304	2.449	2.5428	0.8149	1.5973	0.8917	1.1013	61 kDa	0.0084		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0.9995	0	0.5987	P80318																	
TCPQ_MOUSE	T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3	60 kDa	0.13			1.9143	2.5966	1.0964	1.1647	0	1.3544	0	2.5966	1.0964	1.1684	1.2154	1.8951	2.7968	2.0203	1.2245	1.9842	0.8149	0	0	0.2716	60 kDa	0.19		0	0	0	0	0	0	0	0	0	0	0	0	0	1.0595	1.0825	0.5355	0	0	1.0705	0.3568	P42932																	
TERA_MOUSE	Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4	89 kDa	0.75			7.6571	9.5207	9.8677	6.9882	5.6074	7.9282	2.9485	9.5207	9.8677	0	5.5842	4.7377	2.7968	4.0406	13.469	6.261	6.5194	7.9865	8.9165	7.8075	89 kDa	0.54		2.6347	1.7202	0	1.0946	4.3049	1.9509	0	2.4984	2.4182	2.2063	1.7807	1.1276	1.8699	0	1.0825	1.02	4.7794	1.9989	1.0705	2.6163	Q01853																	
TGFI1_MOUSE	Transforming growth factor beta-1-induced transcript 1 protein OS=Mus musculus GN=Tgfb1i1 PE=1 SV=2	50 kDa	0.78			7.6571	13.848	13.157	3.4941	11.215	9.8742	3.9313	13.848	13.157	1.1684	8.0262	10.423	8.3903	13.132	12.245	11.0476	11.409	8.7851	10.7	10.298	50 kDa	0.14		2.6347	0.8601	0	0	0	0.699	0	1.2492	0	0	0.3123	1.1276	0	1.0595	2.165	1.088	3.1863	0.9995	2.1409	2.1089	Q62219																	
TGM2_MOUSE	Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4	77 kDa	0.049	ECM		4.7857	7.7897	4.3856	3.4941	1.1215	4.3153	4.9142	7.7897	4.3856	0	4.2724	5.6853	8.3903	8.0811	8.5714	7.682	1.6298	1.5973	3.5666	2.2646	77 kDa	0.24		23.713	15.481	11.671	14.229	20.448	17.1084	21.049	23.735	25.391	19.857	22.508	22.551	14.024	16.953	20.567	18.5238	21.507	19.989	17.127	19.541	P21981																	
THIL_MOUSE	Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus GN=Acat1 PE=1 SV=1	45 kDa	0.82			1.9143	1.731	1.0964	1.1647	2.243	1.6299	0	1.731	1.0964	2.3367	1.291	2.8426	1.8645	3.0304	0	1.9344	0.8149	2.3959	1.7833	1.6647	45 kDa	0.28		7.0259	6.8806	5.3868	3.2837	4.3049	5.3764	10.525	2.4984	3.6273	0	4.1627	6.7654	7.4795	8.4764	7.5774	7.5747	7.9657	5.9968	6.4227	6.7951	Q8QZT1																	
THIM_MOUSE	3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3	42 kDa	0.67			8.6143	3.4621	3.2892	1.1647	3.3644	3.9789	0	3.4621	3.2892	7.0101	3.4404	1.8951	4.6613	4.0406	0	2.6493	2.4448	2.3959	0.8917	1.9108	42 kDa	0.0096		18.443	16.342	20.65	14.229	13.991	16.731	11.694	3.7476	1.2091	7.7221	6.0932	11.276	18.699	9.5359	7.5774	11.7721	18.321	13.992	12.845	15.0527	Q8BWT1																	
TKT_MOUSE	Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1	68 kDa	0.9			18.186	15.579	16.446	24.459	16.822	18.2984	8.8455	15.579	16.446	25.704	16.6436	17.056	21.442	19.193	17.143	18.7085	17.928	19.168	16.05	17.7153	68 kDa	0.55		7.0259	4.3004	3.5912	7.662	2.1524	4.9464	3.5082	3.7476	1.2091	3.3095	2.9436	6.7654	4.6747	2.1191	8.6599	5.5548	2.3897	10.994	3.2114	5.5317	P40142																	
TMED9_MOUSE	Transmembrane emp24 domain-containing protein 9 OS=Mus musculus GN=Tmed9 PE=2 SV=2	27 kDa	0.074			0	0	0	0	0	0	0	0	0	0	0	0	0.9323	0	0	0.2331	1.6298	0.7987	0	0.8095	27 kDa	0.24		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332	Q99KF1																	
TMEDA_MOUSE	Transmembrane emp24 domain-containing protein 10 OS=Mus musculus GN=Tmed10 PE=2 SV=1	25 kDa	0.65			1.9143	2.5966	0	1.1647	4.4859	2.0323	0	2.5966	0	1.1684	0.9413	3.7902	1.8645	3.0304	0	2.1713	3.2597	0	3.5666	2.2754	25 kDa	0.52		0.8782	0.8601	0.8978	0	2.1524	0.9577	1.1694	0	0	0	0.2924	0	0	1.0595	1.0825	0.5355	1.5931	0.9995	0	0.8642	Q9D1D4																	
TPIS_MOUSE	Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4	32 kDa	0.0013			2.8714	2.5966	2.1928	0	1.1215	1.7565	2.9485	2.5966	2.1928	3.5051	2.8108	2.8426	4.6613	7.071	7.3469	5.4805	6.5194	5.5905	6.2415	6.1171	32 kDa	0.029		1.7565	4.3004	5.3868	2.1891	4.3049	3.5875	0	0	0	2.2063	0.5516	1.1276	3.7398	2.1191	2.165	2.2879	1.5931	2.9984	4.2818	2.9578	P17751	Glycolysis	Glycolysis								Glycolysis							Tpi1 Tpi
TPM2_MOUSE	Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=1 SV=1	33 kDa	0.11			73.7	57.124	62.496	48.917	112.15	70.8774	35.382	57.124	62.496	71.27	56.568	50.22	41.019	50.507	23.265	41.2528	66.008	95.838	63.307	75.051	33 kDa	0.0006		71.138	55.905	56.562	80.998	47.353	62.3912	36.252	44.971	42.319	52.952	44.1235	48.485	33.658	56.156	37.887	44.0465	74.877	95.948	98.482	89.769	P58774																	
TRFE_MOUSE	Serotransferrin OS=Mus musculus GN=Tf PE=1 SV=1	77 kDa	0.76			17.229	9.5207	16.446	13.976	13.458	14.1259	22.605	9.5207	16.446	0	12.1429	10.423	16.781	16.162	15.918	14.821	11.409	8.7851	12.483	10.8924	77 kDa	0.23		10.539	11.181	12.569	22.986	18.296	15.1142	12.863	12.492	20.555	13.238	14.787	10.148	12.154	5.2977	3.2475	7.7118	7.1691	4.9973	21.409	11.1918	Q921I1																	
UB2V1_MOUSE 	Ubiquitin-conjugating enzyme E2 variant 1 OS=Mus musculus GN=Ube2v1 PE=1 SV=1	16 kDa	0.37			0	0	0	0	0	0	0	0	0	1.1684	0.2921	1.8951	0	1.0101	0	0.7263	0	0	0.8917	0.2972	16 kDa	0.58		0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q9CZY3																	
UBA1_MOUSE	Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1	118 kDa	0.74			4.7857	4.3276	5.4821	6.9882	1.1215	4.541	2.9485	4.3276	5.4821	0	3.1896	4.7377	1.8645	5.0507	0	2.9132	5.7044	0.7987	4.4582	3.6538	118 kDa	0.66		0	0	0	1.0946	0	0.2189	0	0	0	1.1032	0.2758	0	0	0	1.0825	0.2706	0	0.9995	1.0705	0.69	Q02053																	
UBC_MOUSE 	Polyubiquitin-C OS=Mus musculus GN=Ubc PE=1 SV=2	83 kDa	0.027			6.7	6.9242	7.6749	9.3175	6.7289	7.4691	3.9313	6.9242	7.6749	8.1785	6.6772	9.4755	7.458	9.0913	7.3469	8.3429	8.1492	11.98	12.483	10.8707	83 kDa	0.0091		7.0259	7.7407	6.2846	6.5674	5.3811	6.5999	7.0164	3.7476	7.2547	5.5158	5.8836	10.148	7.4795	10.595	14.072	10.5736	7.9657	6.9962	8.5636	7.8418	P0CG50																	
UBE2N_MOUSE	Ubiquitin-conjugating enzyme E2 N OS=Mus musculus GN=Ube2n PE=1 SV=1	17 kDa	0.78			0.9571	0.8655	1.0964	2.3294	4.4859	1.9469	0.9828	0.8655	1.0964	3.5051	1.6125	1.8951	1.8645	2.0203	1.2245	1.7511	1.6298	1.5973	0	1.0757	17 kDa	0.93		0.8782	1.7202	0.8978	0	0	0.6992	0	2.4984	0	0	0.6246	0	0	0	2.165	0.5413	0.7966	0	0	0.2655	P61089																	
UCHL1_MOUSE	Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus GN=Uchl1 PE=1 SV=1	25 kDa	0.088			0	1.731	2.1928	1.1647	4.4859	1.9149	0	1.731	2.1928	0	0.981	0.9476	1.8645	2.0203	1.2245	1.5142	4.0746	6.3892	1.7833	4.0824	25 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	1.1276	0	0	0	0.2819	0	0	0	0	Q9R0P9	Parkinson	Parkinson												Parkinson			Uchl1
UGPA_MOUSE	UTP--glucose-1-phosphate uridylyltransferase OS=Mus musculus GN=Ugp2 PE=2 SV=3	57 kDa	0.61			0	2.5966	1.0964	0	0	0.7386	0	2.5966	1.0964	1.1684	1.2154	1.8951	0.9323	0	1.2245	1.013	0	0.7987	0	0.2662	57 kDa	0.34		0.8782	0.8601	0	0	0	0.3477	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655	Q91ZJ5																	
VAPA_MOUSE	Vesicle-associated membrane protein-associated protein A OS=Mus musculus GN=Vapa PE=1 SV=2	28 kDa	0.68			0.9571	1.731	1.0964	0	0	0.7569	0	1.731	1.0964	0	0.7069	0	0.9323	0	0	0.2331	1.6298	0.7987	0	0.8095	28 kDa	0.41		0.8782	0	0	0	1.0762	0.3909	0	0	0	0	0	2.2551	0.9349	0	0	0.7975	0.7966	0	0	0.2655	Q9WV55																	
VAT1_MOUSE	Synaptic vesicle membrane protein VAT-1 homolog OS=Mus musculus GN=Vat1 PE=1 SV=3	43 kDa	0.28			0.9571	2.5966	2.1928	0	3.3644	1.8222	0.9828	2.5966	2.1928	0	1.4431	1.8951	2.7968	3.0304	3.6735	2.849	2.4448	0.7987	0.8917	1.3784	43 kDa	0.49		0.8782	0.8601	0	0	1.0762	0.5629	0	0	0	0	0	0	0	1.0595	2.165	0.8061	0	1.9989	0	0.6663	Q62465	Huntington	Huntington									Huntington						Vat1 Vat-1
VDAC1_MOUSE	Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3	32 kDa	0.061			14.357	9.5207	9.8677	6.9882	10.093	10.1653	4.9142	9.5207	9.8677	5.8418	7.5361	7.5804	4.6613	5.0507	1.2245	4.6292	12.224	13.577	5.3499	10.3836	32 kDa	0.01		19.321	26.663	32.321	26.27	13.991	23.7132	8.1859	8.7444	13.3	16.547	11.6943	15.786	14.959	19.072	20.567	17.596	26.287	20.989	28.902	25.3927	Q60932																	
VDAC2_MOUSE	Voltage-dependent anion-selective channel protein 2 OS=Mus musculus GN=Vdac2 PE=1 SV=2	32 kDa	0.0012			5.7428	5.1931	6.5785	3.4941	6.7289	5.5475	1.9657	5.1931	6.5785	2.3367	4.0185	0.9476	0	0	0	0.2369	4.8895	3.9932	2.6749	3.8525	32 kDa	0.063		3.513	5.1605	8.0802	5.4728	2.1524	4.8758	3.5082	3.7476	3.6273	4.4126	3.8239	1.1276	0.9349	0	3.2475	1.3275	9.5588	3.9978	3.2114	5.5893	Q60930																	
VDAC3_MOUSE	Voltage-dependent anion-selective channel protein 3 OS=Mus musculus GN=Vdac3 PE=1 SV=1	31 kDa	0.048			7.6571	6.9242	7.6749	8.1528	7.8504	7.6519	0	6.9242	7.6749	0	3.6498	7.5804	0	4.0406	0	2.9053	9.779	7.9865	7.1332	8.2996	31 kDa	0.0004		11.417	15.481	13.467	14.229	11.838	13.2864	0	0	0	9.9284	2.4821	14.658	15.894	13.774	12.99	14.329	15.931	9.9946	10.705	12.2102	Q60931																	
WDR1_MOUSE	WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3	66 kDa	0.7			7.6571	6.9242	5.4821	4.6588	2.243	5.393	1.9657	6.9242	5.4821	7.0101	5.3455	7.5804	9.3226	1.0101	4.898	5.7028	8.9641	11.98	2.6749	7.873	66 kDa	0.94		4.3912	5.1605	3.5912	1.0946	2.1524	3.278	5.847	6.246	0	0	3.0233	2.2551	0	4.2382	5.4124	2.9764	1.5931	2.9984	2.1409	2.2441	O88342																	
